Course Title,Course Description,Antirequisites,Prerequisites,Extra Information,Course Weight,Subject
Earth Sciences 2266F/G DINOSAUR AND OTHER VERTEBRATE EVOLUTION,"Introduction to the fossil record that documents the major steps in vertebrate evolution, including the origin and radiation of fishes, amphibians, mammal-like reptiles, dinosaurs, birds, and mammals.",,,3 lecture hours.,0.50,Earth Sciences
Earth Sciences 2281A/B GEOLOGY FOR ENGINEERS,"Introduction to physical geology with emphasis on the engineering oriented aspects of the Earth Sciences. Topics include: minerals and rocks; mass movements; interpretation of aerial photographs, topographic and geologic maps; surficial processes and their manifestations; surface and ground water; structural geology and subsurface processes; and earth resources.","Earth Sciences 1022A/B, Earth Sciences 1023A/B, Earth Sciences 1070A/B, Earth Sciences 1081A/B, Earth Sciences 2123A/B",,"2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3001A/B ASTROBIOLOGY,"The study of life in the universe, including the origin of life on Earth, the possibility of life elsewhere in the solar system/universe, and the future of human life off-Earth. This course will include topics that draw from biology, physics, astronomy, geology, chemistry, and other areas.",,,"2 lecture hours, 2 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3310A/B STRUCTURE AND CHEMISTRY OF MINERALS AND MATERIALS,"The study of crystal structure, crystal chemistry and stability of rock-forming minerals. Compatibility of atomic substitution in minerals (solid solution, exsolution) is viewed from structural and thermodynamic perspectives. Selected topics include crystal growth, X-ray diffraction (XRD), electron probe microanalysis (EPMA), colour in minerals, crystal field theory and mineral physics.",,"Earth Sciences 2206A/B, Earth Sciences 2230A/B","Only offered in alternate years. 2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3312A/B GENESIS OF METEORITES AND PLANETARY MATERIALS,"The origin of meteorites and planetary materials (igneous, metamorphic and sedimentary rocks) will be deduced from textural evidence obtained from microscopic studies and geochemical evidence. These deductions then will be used to constrain hypotheses concerning genesis and evolution of Earth, other planets and the Solar System.",,"Earth Sciences 2200A/B, Earth Sciences 2206A/B, Earth Sciences 2230A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3313A/B IGNEOUS PETROLOGY,Study of igneous processes using rock and thin section descriptions (petrography). Discussion of how different compositions and conditions influence the phases present in a rock (phase equilibria). Association of different rock types with plate tectonic setting.,,Earth Sciences 2206A/B,"2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3314A/B SEDIMENTARY PETROLOGY,Identification and description of various types of siliciclastic and carbonate rocks; the important characteristics of sedimentary rocks and their key sedimentary features for interpretation of present and ancient despositional environments; survey of diagenetic processes that alter original properties of primary sediments.,,"Earth Sciences 2200A/B, Earth Sciences 2206A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3315A/B METAMORPHIC PETROLOGY,"Study of metamorphic processes using rock and thin section descriptions (petrography). Discussion of factors that control the mineralogy and physical attributes of different metamorphic rocks (e.g., temperature, pressure, composition, fluids). Use of phase equilibria and geochronology to understand metamorphic histories. Association of different rock types with plate tectonic setting.",,"Earth Sciences 2230A/B, Earth Sciences 3313A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3320A/B ENVIRONMENTAL AND EXPLORATION GEOPHYSICS II,"An advanced course covering the geophysical techniques used for subsurface sensing, with applications to environmental studies and resource exploration. Data analysis includes seismology, gravity, electromagnetic and radiometric applications.",,Earth Sciences 2220A/B,"2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3321A/B PHYSICS OF THE EARTH I,"An introduction to physics of the Earth's interior. Major topics are: Earth structure from seismic observations, heat flow, the physics of minerals under high temperatures and pressures, equations of state, seismological, thermal and compositional models.",,Earth Sciences 2220A/B,"3 lecture hours, 2 tutorial hour.",0.50,Earth Sciences
Earth Sciences 3323A/B INTRODUCTION TO  GEODESY AND REMOTE SENSING,"An introduction to the basic concepts of geodesy and geodetic surveying, to include geometrical and physical geodesy. Material covered will include datums and coordinate systems, space and surface geodetic techniques, gravity and precise leveling, uncertainty estimation, and error propagation. Specific applications will include GPS data collection and analysis.",,"Calculus 2303A/B, Calculus 2503A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3340A/B WATERSHED HYDROLOGY,"Occurrence, movement, and behavior of water in the hydrologic cycle. The development of quantitative representations of hydrologic processes (e.g., precipitation, evapotranspirtation, runoff, infiltration and unsaturated flow, saturated flow, surface flow). Analysis of stream response hydrographs. Statistical models of predicting flood responses and water resource management.",,,"2 lecture hours, 2 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3341A/B WATERS AND GEOCHEMICAL CYCLES,"Acquisition of solutes by rain, surface and subsurface waters and their transportation and deposition in natural environments (e.g., formation of ore deposits). Natural sources of potential pollutants (e.g., heavy metals). Geochemical cycles of solutes and waters.",,"Earth Sciences 2230A/B, Chemistry 1301A/B","2 lecture hours, 1 tutorial hour.",0.50,Earth Sciences
Earth Sciences 3350Y ADVANCED FIELD MAPPING TECHNIQUES,Eleven day field school in a deformed metamorphic terrain. Observation and documentation of geological features at outcrops. Three-dimensional thinking and reconstruction of structural geometry. Establishing overprinting relationships among structures. Mapping from mesoscopic to macroscopic scales. Kinematic interpretation and tectonic synthesis of geological data at different scales.,,"Earth Sciences 2201A/B, Earth Sciences 2250Y, Earth Sciences 3313A/B, Earth Sciences 3314A/B, Earth Sciences 3315A/B","11 day field course in May, 0.5 course.     Note: Students must register prior to the September ""Add"" deadline for full year courses (see Undergraduate Sessional Dates). Partial cost of the field expenses must be borne by the students, and is payable to the Department prior to the September ""Add"" deadline. The cost per student is $355 in 2014, and will increase by $15 every year thereafter. Fees are non-refundable in the event of a course drop, except in extenuating circumstances. Students will receive the maximum subsidy if the course is a requirement for their module. In the case that the course is not a requirement, partial subsidy may be provided depending on the module in which the student is currently enrolled (please contact the Departmental Undergraduate Chair).",0.50,Earth Sciences
Earth Sciences 3369A/B GEOMICROBIOLOGY,"A study of geomicrobiological processes recorded in the Earth record and bacteria interactions in contemporary systems, including methods for the analysis of prokaryotes. The factors affecting their community structure and function, and their relationship to geochemistry. In the laboratory, students will develop bacteriological culture techniques used in geomicrobiological research.",,"Earth Sciences 2200A/B, Astronomy 2021A/B, Geography 1100, Geography 1300A/B, Geography 1500F/G","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3370A/B METALLOGENY I: ORE PETROLOGY,A survey course introducing the broad field of mineral deposit geology and the importance of mineral resources. Global theories of ore genesis are considered in deposit classification. Various methods of ore petrology are discussed within the context of specific applications. Laboratory work focuses on reflected light microscopy in the practical study of ore suites.,,"Earth Sciences 2200A/B, Earth Sciences 2206A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 3371A/B METALLOGENY II: ORE DEPOSITS MODELS,The material covered builds directly on  Earth Sciences 3370A/B  Metallogenic models are applied to a wide spectrum of deposit types. Emphasis is placed on establishing geological criteria for mineral exploration. Laboratory work focuses on reflected light microscopy in practical studies of ore suites.,,Earth Sciences 3370A/B,"2 lecture hours, 3 laboratory hours",0.50,Earth Sciences
Earth Sciences 3372A/B INTRODUCTION TO PETROLEUM SYSTEMS,"The study of the fundamental geological components of petroleum systems responsible for oil and natural gas accumulations in sedimentary basins. The fate of organic matter is traced along a path from source rocks, maturation, migration, to reservoir, trap and seal. Labs incorporate use of industry software.",,Earth Sciences 2260A/B,"2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4001Y PLANETARY SCIENCE FIELD SCHOOL,"Field study of the geology and biology of various Moon/Mars analogue sites in North America.  Lectures/seminars/practical exercises will emphasize similarities and differences between the terrestrial sites and other planetary bodies, and the subtle interactions between geology and biology at each site.",,"Earth Sciences 2200A/B, Earth Sciences 2250Y","A ten-day field course typically held in early May, but may be offered at other times of the year depending on weather in international locations.Note: Students expecting to graduate in the current year¿s spring convocation cannot take the course. Students must register prior to the September ""Add"" deadline for full courses (see Undergraduate Sessional Dates). Partial cost of the field expenses must be borne by the student, and is payable to the Department prior to the September ""Add"" deadline. The cost per student will vary depending on travel destination. Fees are non-refundable in the event of a course drop, except in extenuating circumstances.",0.50,Earth Sciences
Earth Sciences 4002A/B PLANETARY IMAGE INTERPRETATION,An introduction to online planetary image resources; use of remote sensing data from spacecraft in the context of planetary geology and surface processes. Emphasis on Lunar and Martian imagery and its role in broadly defining the origin and evolution of surficial features on these bodies.,,"Earth Sciences 2232F/G, Astronomy 2201A/B, Astronomy 2232F/G","2 lecture hours, 2 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4420A/B GEOPHYSICAL FORWARD AND INVERSE MODELLING METHODS,"An introduction to potential theory and methods of interpreting geophysical data through the construction of forward models, optimization of misfit surfaces, and inversion.",,"Calculus 2303A/B, Calculus 2503A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4421A/B PHYSICS OF THE EARTH II,"Advanced topics in the physics of the Earth and planets including: magnetism; paleomagnetism and the geomagnetic timescale; radioactivity, radioactive dating and Earth's age; elasticity and flexure of plates; principles of continuum mechanics; elastic properties of the Earth's lithosphere; principles of isostasy; rheology of rocks; shape and rotation of the Earth.",,Earth Sciences 3321A/B,3 lecture hours.,0.50,Earth Sciences
Earth Sciences 4423A/B APPLIED SEISMOLOGY,Advanced concepts in the application of seismic-reflection and refraction techniques for exploration of the subsurface. Topics include: elastic wave propagation fundamentals; prestack and post-stack data processing and analysis; deconvolution of time series data; seismic migration; inversion of traveltime data; amplitude-versus offset analysis; 3-D seismic interpretation.,,"Earth Sciences 2220A/B, Earth Sciences 2222A/B, Calculus 2303A/B, Calculus 2503A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4424A/B ADVANCED MINERAL PHYSICS,"Introduction to elementary solid state theory, high pressure geophysics, phase transformations, elasticity, physical properties and mineral physics of the Earth's mantle and core.",,"Earth Sciences 3321A/B, Earth Sciences 2206A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4431A/B ISOTOPE GEOCHEMISTRY IN EARTH AND ENVIRONMENTAL SCIENCE,"Stable isotopes (O,H,C,S,N), atmosphere, hydrosphere, sedimentary and diagenetic systems, hydrothermal systems, fluid migration, ore-forming fluids, igneous and metamorphic rocks. Environmental applications: groundwater, oceans, wetlands, acid rain; acid mine drainage, climate fluctuation; global cycle modification. Radiogenic isotopes: dating techniques; crust and mantle evolution, environmental tracing.",,"Earth Sciences 2230A/B, Earth Sciences 3341A/B",3 lecture hours.,0.50,Earth Sciences
"Earth Sciences 4432A/B GEOCHEMISTRY OF METALS, MELTS AND FLUIDS IN THE CRUST","The principals of metal concentration and deposition in magmatic and hydrothermal environments are examined. Natural and experimental data, including fluid inclusion, stable isotope, metal solubility, mineral stability and metal partition behavior are used to develop genetic models for ore deposits, which form the basis of mineral exploration strategies.",,"Earth Sciences 2230A/B, Earth Sciences 3370A/B","3 lecture hours, 1 tutorial hour.",0.50,Earth Sciences
"Earth Sciences 4440A/B HYDROGEOLOGY: PRINCIPLES, PROCESSES, AND PROFESSIONAL PRACTICE","Occurrence, distribution, movement, chemistry and composition of ground water as a function of the geological environment; water quality and ground water contamination; collection and evaluation of hydrogeologic data; modelling ground-water flow and advective transport; case histories.",,"Earth Sciences 3340A/B, Civil and Environmental Engineering 3321A/B, Civil and Environmental Engineering 3322A/B, Geography 3342A/B","2 lecture hours, 2 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4450Y REGIONAL FIELD GEOLOGY,Field study of the geology of major structural provinces of North America. A ten day field trip at the beginning of September.,,Earth Sciences 3350Y,"A ten day field course in early September. Note: Students must inform the Department of their intention to register in the course prior to May 1st and register prior to August 15th. Partial cost of the field course must be borne by the student, and is payable to the Department by May 1st. The cost per student is $345 in 2010, and will increase by $15 every year thereafter.",0.50,Earth Sciences
Earth Sciences 4451Z GEOPHYSICAL FIELD TECHNIQUES,"An off-campus Geophysical field school providing an introduction to geophysical techniques, including gravity, magnetic, seismic and electromagnetic methods. Classroom lectures, with accompanying outdoor sessions and field exercises. Offered in co-operation with other Universities, with participation from geophysical contractors. The course meets professional registration requirements for Field Techniques (Geophysics).",,Earth Sciences 2220A/B,"A ten day field course in early September. Note:  Students must inform the Department of their intention to register in the course prior to May 1st, and register prior to August 15th. The field course is subsidized by the department. Students will pay $650 in 2014, payable by May 1st. The cost may increase by $25 every year thereafter.",0.50,Earth Sciences
Earth Sciences 4452Z INTERNATIONAL GEOSCIENCE FIELD EXPERIENCE,"A research-level field course to globally significant international or Canadian geological type localities. Students will gain practical field experience through the collection, analysis, and presentation of primary geological and geophysical field data. Lectures/ seminars/ practical exercises will emphasize the interaction between the physical, chemical, and biological aspects of the Earth system.",,Earth Sciences 2250Y,"A 10 to 14 day field course typically held in April/May although it may be offered at other times of the year given the weather in international locations.Note: Students must register prior to the September ""Add"" deadline for full year courses (see Undergraduate Sessional Dates). Registration in the course is conditional and competitive as course costs are largely covered by external funds raised by the department just prior to departure. A committee will adjudicate students on the basis of grades in program courses, a vision statement submitted as part of the application process, and demonstrated interest in field studies. Course may not be used towards minimum graduation requirements. Students who are not successful will have the course dropped from their record; normal drop dates do not apply to this course. Students are expected to contribute toward the cost of accommodation, food, and miscellaneous expenses.",0.50,Earth Sciences
Earth Sciences 4460A/B SEDIMENTOLOGY OF CLASTIC AND CARBONATE ROCKS,"An overview of the principal depositional environments of clastic and carbonate rocks, with emphasis on the recognition and interpretation of sedimentary facies and facies successions. Field and laboratory exercises involving outcrop and subsurface data will be used to integrate facies analysis with sequence stratigraphy.",,"Earth Sciences 2260A/B, Earth Sciences 3314A/B","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4461A/B ADVANCED PALEONTOLOGY,"Advanced topics on applications of paleontological data to reconstructions of evolutionary history, ancient environments, geochronology, and paleobiogeography.",,"Earth Sciences 2265A/B, Earth Sciences 2266F/G","2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4462A/B GLACIAL AND QUATERNARY GEOLOGY,"The last 2 million years of Earth history. Glacial-interglacial cycles, global sea level and climate changes, and their causes. Extent and dynamics of North American Pliestocene ice sheets. Dating methods, Quaternary resources, waste disposal, air photo interpretation and surficial mapping. Laboratory exercises, field project, field trip.",,"Earth Sciences 2260A/B, Earth Sciences 3314A/B, Geography 2330A/B, Geography 3333A/B, Geography 3334A/B, Geography 3350A/B","2 lecture hours, 3 seminar/laboratory hours.",0.50,Earth Sciences
Earth Sciences 4470A/B GLOBAL METALLOGENIC CYCLES IN CRUSTAL EVOLUTION,"Advanced-level study of the global distribution of ore deposits. Problems of metal source, transport and deposition are discussed within the context of crustal evolution. Ore types sensitive to secular changes in the Earth's lithosphere-hydrosphere-atmosphere-biosphere are emphasized. Field excursions to major ore districts may be arranged.",,"Earth Sciences 3370A/B, Earth Sciences 3371A/B","2 lecture hours, 3 seminar/laboratory hours.",0.50,Earth Sciences
Earth Sciences 4472A/B APPLIED PETROLEUM ASSESSMENT,"Advanced-level study of characterization and quantitative assessment of petroleum plays and prospects, with an emphasis on the integration of Geoscience, introductory reservoir engineering and basic economic indicators on the valuation of oil and gas properties. Labs will analyze case studies using industry software.",,Earth Sciences 3372A/B,"Only offered in alternate years.  2 lecture hours, 3 laboratory hours.",0.50,Earth Sciences
Earth Sciences 4490E SENIOR THESIS,A presentation of research on a chosen problem. Original data must be generated from field or laboratory studies and analyzed using appropriate methodologies. The results must be integrated into the existing literature on the topic. Independence in the conduct and reporting of research must be demonstrated.,,,1 lecture hour.,1.00,Earth Sciences
Electrical and Computer Engineering 2205A/B ELECTRIC CIRCUITS,"Basic resistive circuits, Ohm's, Kirchhoff's Laws. DC analyis: nodal and mesh analysis. Network theorems: linearity, superposition, Thévenin's and Norton's theorems. Time-domain analysis: first and second order circuits, source-free and forced response. Sinusoidal steady-state analysis: phasors, complex power. Basic OpAmp circuitry.",,"Physics 1402A/B, Applied Mathematics 1411A/B, Engineering Science 1036A/B, Computer Science 1026A/B, Applied Mathematics 2270A/B","3 lecture hours, 1 tutorial hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2208A/B ELECTRICAL MEASUREMENT & INSTRUMENTATION,"Measurements: System of units, errors. Basic resistive circuits: Ohm's, Kirchhoff's Laws; DC analyis: nodal and mesh analysis, superposition, Thévenin's/Norton's theorems; Sinusoidal steady-state analysis: phasors, complex power; Basic OpAmp circuitry; Boolean circuits; Transducers.",ECE 2205A/B,"Engineering Science 1036A/B, Computer Science 1026A/B, Physics 1402A/B, Applied Mathematics 2270A/B","3 lecture hours, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2231A/B INTRODUCTION TO ELECTRONICS,"Electronic properties of semiconductors. The P-N junction. Diodes and light-emitting diodes; bipolar and field-effect transistors. Biasing, small signal analysis, large signal analysis. Single transistor amplifiers.",,ECE 2205A/B,"3 lecture hours, 1 tutorial hour, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2233A/B CIRCUITS AND SYSTEMS,"Introduction to a system level analysis of electrical circuits. The S-Plane and frequency response of circuits, frequency selective circuits, state variables, introduction to Fourier analysis, Fourier transform and Laplace transform techniques. Transfer functions and system functions.",MSE 2233A/B,"Applied Mathematics 2270A/B, ECE 2205A/B, Applied Mathematics 2276A/B","3 lecture hours, 1 tutorial hour, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2236A/B MAGNETIC CIRCUITS & TRANSMISSION LINES,"Three phase circuits, magnetic coupling and circuits, transformers. Transmission lines and the telegrapher equation.",,"Applied Mathematics 2270A/B, ECE 2205A/B, Physics 1402A/B, Applied Mathematics 2276A/B","3 lecture hours, 1 tutorial hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2238A/B INTRODUCTION TO ELECTRICAL ENGINEERING,"DC circuit analysis, fundamentals of DC circuit analysis, Ohm's Law, KCL, KVL, Thévenin and Norton Equivalent circuits, maximum power transfer; linear analog circuits, diodes, transistors, operational amplifiers, biasing, gain, frequency response.","ECE 2205A/B, ECE 2231A/B","Engineering Science 1036A/B, Computer Science 1026A/B, Physics 1402A/B, Applied Mathematics 2270A/B","3 lecture hours, 1 tutorial hour, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2240A/B ELECTRICAL LABORATORY I,"Laboratory experiments associated with  ECE 2205A/B,  as well as laboratory experiments in instrumentation and measurement; the lecture component includes review of laboratory practice, health and safety issues, simulation software, data collecting methods; errors and their calculus; accuracy; averaging, signal conditioning, and data interpolation.",,"Computer Science 1026A/B, Engineering Science 1036A/B, ECE 2205A/B","1 lecture hour, 3 laboratory hours, 1 tutorial hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2241A/B ELECTRICAL LABORATORY II,"Laboratory experiments associated with  ECE 2231A/B,   ECE 2233A/B  and  ECE 2236A/B ; basic semiconductor circuit elements (diodes, LEDs and transistors); second order circuits; sensors and electro-mechanical devices; and a design project.",,"ECE 2240A/B, ECE 2231A/B, ECE 2233A/B","1 lecture hour, 3 laboratory hours, 1 tutorial hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2242A/B PRINCIPLES OF DESIGN IN ELECTRICAL ENGINEERING,"Introduction to electrical engineering design. Topics include the engineering design process, review of sensors and signal conditioning, digital system design, analog system design, programmable logic controllers (PLCs).",,"ECE 2240A/B, ECE 2277A/B, ECE 2205A/B, ECE 2231A/B","2 lecture hour, 3 laboratory hours.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2274A/B ELECTRIC CIRCUITS AND ELECTROMECHANICS,"This course introduces the principles of electrical circuits and components, including common electric motors employed in mechanical systems. Laboratories to introduce the students to common measurement tools used to assess and troubleshoot circuits. These foundations are expanded upon in a subsequent course focusing on electronic components and their applications.","ECE 2205A/B, ECE 2231A/B","Engineering Science 1036A/B, Computer Science 1026A/B, Physics 1402A/B, Pre-or Corequisite(s):, Applied Mathematics 2270A/B","3 lecture hours, 1.5 laboratory hours.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 2277A/B DIGITAL LOGIC SYSTEMS,"Theory of Boolean algebra, switching circuits, Venn diagrams; Karnaugh maps; logic and memory systems, design of combinational and sequential switching machines; electronic switching circuits; data coding, storage, transmission; basic design of digital computers.",,ECE 2205A/B,"3 lecture hours, 2 laboratory hours, 1 tutorial.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3330A/B CONTROL SYSTEMS,"The concept of feedbacks; modelling of dynamic systems; characteristics of feedback control systems, performance of control systems in time and frequency domains; stability of feedback systems; control system analysis and design. Using root locus and frequency response techniques.",CBE 3310A/B,"Applied Mathematics 2270A/B, ECE 2233A/B, MSE 2233A/B","3 lecture hours, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3331A/B INTRODUCATION TO SIGNAL PROCESSING,"Introduction to discrete-time signals and sampled data, linear time-invariant (LTI) systems, frequency response, discrete Fourier transforms, convolution, spectrum analysis, Z-transforms, non-recursive digital filters.",,"ECE 2233A/B, MSE 2233A/B","3 lecture hours, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3332A/B ELECTRIC MACHINES,"Basic Principles related to magnetic fields and energy conversion, transformers, DC machines, synchronous machines, induction Machines, special purpose motors.",,"ECE 2233A/B, ECE 2236A/B, MSE 2201A/B, MSE 2233A/B","3 lecture hours, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3333A/B ELECTRIC POWER SYSTEMS I,Per unit System; three phase transmission systems; three phase transformers; transmission line parameters; steady state operation of transmission lines; maximum power flow; reactive power compensation; economic operation of power systems.,,"ECE 2236A/B, ECE 3332A/B","3 lecture hours, 1 laboratory hour, 1.5 tutorial hours.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3336A/B ELECTROMAGNETIC THEORY,"Radio-frequency transmission lines, telegrapher's equations, Smith chart. A vector treatment of the theory of electric and magnetic fields. Integral and differential forms of Maxwell's equations. Boundary conditions. Scalar and vector potentials, reflection and transmission of electromagnetic waves in dielectric and conducting media.",Physics 3300A/B,"Applied Mathematics 2276A/B, Applied Mathematics 3415A/B, ECE 2233A/B, ECE 2236A/B","3 lecture hours, 1 tutorial hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3337A/B ELECTRONIC CIRCUITS,"Frequency response in electronic circuits, zener diode and power supply (voltage regulator) circuits, power amplifiers, differential amplifiers, feedback circuits, miscellaneous topics (Miller effect, current mirrors, cascade and cascode circuits, etc.)",,"ECE 2205A/B, ECE 2231A/B, ECE 2233A/B","3 lecture hours, 1.5 laboratory hours, 1 tutorial hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3349A/B INTRODUCTION OF VLSI,"This course covers fundamentals of semiconductor physics as applied to microelectronics, theory of semiconductor materials and devices. Students will be exposed to basic elements of CMOS circuitry design, including practical implementation of resistors, capacitors, diodes, transistors and MOSFET. Related topics such as delays, cross-talk, parasitics, temperature effects are included.",,"ECE 2233A/B, ECE 2240A/B, ECE 2231A/B, ECE 2277A/B, ES 1021A/B, ECE 2238A/B, ECE 2277A/B","3 lecture hours, 1.5 laboratory hours.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3370A/B ANALOG COMMUNICATIONS THEORY,"This course deals with fundamental principles of wireless RF communications, AM, FM, and PM modulation, demodulation and spectra, and frequency shifting and mixing. Practical linear and nonlinear circuits for a heterodyne radio receiver are studied, including RF/IF amplifiers, matching networks, oscillators, mixers, modulators, demodulators, and phased-locked loops.",,"ECE 2231A/B, ECE 2233A/B, ECE 3337A/B","3 lecture hours, 1 tutorial hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3374A/B INTRODUCTION TO ELECTRONICS FOR MECHANICAL ENGINEERING,"This course is an introduction to the electronics used to collect data and analyse and control mechanical and electrical systems. The first half of the course introduces basic electronic components, while the second half focuses on higher-level hardware used in data acquisition, sensor integration and motor control applications.","ECE 2277A/B, ECE 3332A/B, ECE 3333A/B, ECE 3375A/B","ECE 2274A/B, ECE 2238A/B","3 lecture hours, 1.5 laboratory hours.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3375A/B MICROPROCESSORS & MICROCOMPUTERS,"Basic elements of computers: central processing unit; memories; input/output devices; interfacing, software and hardware design, Computer Assisted Design; data handling and process control equipment; applications of microprocessors.",Computer Science 3350A/B,ECE 2277A/B,"3 lecture hours, 1.5 laboratory hours.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3380A/B ADVANCED DIGITAL SYSTEMS,"Memory units, coders, decoders, adders, multipliers, clocks, synchronous and asynchronous sequential circuits, algorithmic state machines, microprogrammed synthesis of ASM designs, advanced microprocessor organization.",,"ECE 2277A/B, Pre-or Corequisite(s):, ECE 3375A/B","3 lecture hours, 1.5 laboratory hours",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3389A/B COMPUTER SYSTEM DESIGN,"Introduction to computer system design and the architecture of modern high-performance computers. Memory hierarchy. RISC, superscalar, and multi-core architectures. Microprogrammed and hardwired control implementations. Students will complete group design projects integrating these concepts. Antirequisites: ECE 4470A/B, ECE 4489A/B",,"ECE 3375A/B, ECE 3380A/B","3 lecture hours, 1.5 laboratory hours",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3390A/B HARDWARE/SOFTWARE CO-DESIGN,"Modern design techniques for embedded, wireless, and mobile computing systems. Unified approach to hardware and software design. Partitioning of systems into hardware and software. Hardware/software interface design. Trade-offs in hardware and software partitioning.",,ECE 3389A/B,"3 lecture hours, 1.5 laboratory hours",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 3399A/B PRINCIPLES AND PRACTICES OF DESIGN OF ELECTRONIC SYSTEMS,"Principles and Practices of Design of Electronic Systems is a third year design course in the Electrical Engineering Program. Topics include principles and practices of design of electronic systems through projects in the area of communications, microprocessors, control systems and signal processing.",,,"1 lecture hours, 3.0 laboratory hours.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 4415 COMPUTER ENGINEERING DESIGN PROJECT,"Selection and investigation of a computer engineering problem. Analytical and/or experimental work is carried out by project groups under the supervision of a faculty member. Progress report and a final engineering report are prepared. Each student must deliver a public oral presentation. Antirequisites:  CBE 4497,   CEE 4441,   ECE 4416,   Engineering Science 4499,   GPE 4497,   MME 4499,   MSE 4499,   SE 4450 .",,,6 laboratory hours.,1.00,Electrical and Computer Engineering
Electrical and Computer Engineering 4416 ELECTRICAL/COMPUTER DESIGN PROJECT,Selection and investigation of an engineering problem. Analytical and/or experimental work is carried out by individual students or project groups under the supervision of a faculty member. Progress reports and a final engineering report are prepared; each student must deliver a public lecture.,"CBE 4497, CEE 4441, MME 4499, SE 4450, Engineering Science 4499",,6 laboratory hours.,1.00,Electrical and Computer Engineering
Electrical and Computer Engineering 4429A/B ADVANCED DIGITAL SIGNAL PROCESSING,"Digital Signal Processing (DSP) is widely used in speech and audio processing, biomedical engineering, and telecommunication applications. The objectives of this course are to strengthen the students' knowledge of DSP fundamentals, to introduce them to advanced DSP topics, and to familiarize them with the practical aspects of DSP algorithm implementation.",,ECE 3331A/B,"3 lecture hours, 1 laboratory hour.",0.50,Electrical and Computer Engineering
Electrical and Computer Engineering 4430A/B SELECTED TOPICS IN ELECTRICAL ENGINEERING I,The course deals with topics of current interest in Electrical Engineering. Topics and course outlines will be available at the time of registration.,,,"2 lecture hours and 2 laboratory hours, or 3 lecture hours and 1 laboratory hour.",0.50,Electrical and Computer Engineering
